,GEOID,FIPS,SERank,EHDRank,MINRank,LWINRank,P_LWINCPCT,P_MINORPCT,index_right,Unnamed: 0,FSID,EPACRKID,PlanID,FacilityName,FacilitySiteStatusTypeID,PlanYearCode,LocationLatitude,LocationLongitude,NAICSCode,CountyCode,StateDistrict,FirstName,LastName,FullName
280,530330323133.0,53033032313.0,6.0,6.0,10,0,0.0,92.0,155,157,53531331,WAD097820732,271,IDD Aerospace Corp,1,2019,47.67185,-122.09728,334511.0,WA033,NWRO,Robert,Reuter,Robert Reuter
281,530330323134.0,53033032313.0,6.0,6.0,10,5,50.0,96.0,439,491,3664,WAH000053464,3222,EOSPACE Inc,1,2019,47.66238,-122.09351000000001,333314.0,WA033,NWRO,Amy,Leang,Amy Leang
319,530530714111.0,53053071411.0,8.0,6.0,8,6,57.0,75.0,402,412,11327,WAH000044499,2890,Pierce Cnty Public Works & Util Rd Maint,1,2019,47.07871,-122.40602,237310.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
407,530539400051.0,53053940005.0,8.0,9.0,8,5,42.0,72.0,279,284,1224,WAD067162586,573,Busby Marine & Tank Inc,1,2019,47.268229999999996,-122.364898,332312.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
415,530770006001.0,53077000600.0,10.0,9.0,10,10,99.0,99.0,225,227,86898237,WAH000007815,378,WA DA Chemical & Hop 21 N 1st Ave,1,2019,46.612928000000004,-120.51653600000002,926140.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
451,530330219061.0,53033021906.0,5.0,3.0,6,2,17.0,57.0,463,516,19644,WAH000053568,3297,Hilti Distribution Center Woodinville,1,2019,47.73717,-122.15268,423710.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
467,530630124011.0,53063012401.0,2.0,2.0,1,7,63.0,1.0,448,501,3108,WAH000046705,3258,CarMax Auto Superstore West Coast Inc,10,2019,47.656515,-117.299548,441110.0,WA063,ERO,John,Blunt,John Blunt
485,530330292044.0,53033029204.0,8.0,10.0,9,9,82.0,90.0,153,155,53328928,WAD039512181,268,Hot Cell Services Corp,1,2019,47.39869,-122.22711000000001,332999.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
531,530110415003.0,53011041500.0,6.0,9.0,1,5,42.0,2.0,296,303,66765272,WAD009042896,617,GEORGIA PACIFIC CONSUMER PRODUCTS,1,2019,45.58484,-122.40565,322121.0,WA011,INDUSTRIAL,Angela,Fritz,Angela Fritz
539,530319504004.0,53031950400.0,7.0,4.0,1,6,52.0,3.0,304,311,23355136,WA4170090001,626,NAVMAG Indian Island,1,2019,48.03387,-122.73239,928110.0,WA031,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
545,530330087001.0,53033008700.0,8.0,10.0,5,8,75.0,50.0,41,42,768540,WAH000025959,50,Dynacare Northwest Inc 17th Ave,1,2019,47.606602,-122.309995,621511.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
549,530579516003.0,53057951600.0,9.0,2.0,8,7,64.0,75.0,72,74,8358774,WAH000023642,119,Pacific Woodtech Corporation,1,2019,48.49292,-122.33062,321213.0,WA057,NWRO,Paul,Fabiniak,Paul Fabiniak
568,530530617003.0,53053061700.0,8.0,10.0,8,3,28.0,78.0,281,286,36399481,WAH000033909,583,AIR SPARES INC FORMER,1,2019,47.242961,-122.455339,541380.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
575,530270005005.0,53027000500.0,7.0,4.0,9,9,89.0,81.0,251,255,31211918,WAD020231536,481,Ascensus Specialties LLC,1,2019,46.996944,-123.379997,325180.0,WA027,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
602,530630025004.0,53063002500.0,8.0,10.0,4,10,99.0,40.0,411,428,686,WAD079265732,2973,Gonzaga University,1,2019,47.66838,-117.40276999999999,611310.0,WA063,ERO,Thatcher,Montgomery,Thatcher Montgomery
604,530630104012.0,53063010401.0,9.0,8.0,7,10,94.0,65.0,163,165,59485377,WAD980986780,289,Spokane Galvanizing Inc,1,2019,47.6299025453,-117.575598326,332812.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
609,530610420061.0,53061042006.0,4.0,4.0,8,5,43.0,78.0,167,169,62359592,WAD009267337,294,PRODUCTION PLATING INC MUKILTEO,1,2019,47.89502,-122.29226000000001,332813.0,WA061,NWRO,Robert,Reuter,Robert Reuter
609,530610420061.0,53061042006.0,4.0,4.0,8,5,43.0,78.0,240,243,97295589,WAD001242767,409,Applied Finishing Inc Mukilteo,4,2019,47.89593,-122.28986,326199.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
609,530610420061.0,53061042006.0,4.0,4.0,8,5,43.0,78.0,395,405,14352419,WAH000013755,2847,UniEnergy Technologies LLC,1,2019,47.898749,-122.302833,541711.0,WA061,NWRO,Robert,Reuter,Robert Reuter
611,530770001002.0,53077000100.0,10.0,10.0,10,10,98.0,93.0,212,214,82556196,WAD988476982,359,Hops Extract Corp of America,1,2019,46.60485,-120.51284,115114.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
628,530530615004.0,53053061500.0,7.0,10.0,4,8,75.0,35.0,127,129,36426229,WAD078216405,201,TACOMA GENERAL HOSPITAL & MARY BRIDGE,1,2019,47.260329999999996,-122.45325,622110.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
657,530770011002.0,53077001100.0,8.0,8.0,5,3,30.0,50.0,291,298,13175868,WAD009266511,607,GE Aviation LLC Yakima,1,2019,46.57309,-120.54478999999999,33641.0,WA077,CRO,Huckleberry,Palmer,Huckleberry Palmer
669,530610519281.0,53061051928.0,7.0,6.0,9,1,9.0,85.0,172,174,64518817,WAD009251042,301,Eldec Corp Martha Lake,1,2019,47.84648,-122.25152,334418.0,WA061,NWRO,Robert,Reuter,Robert Reuter
687,530330288012.0,53033028801.0,9.0,10.0,10,10,92.0,91.0,114,116,33419215,WAH000017301,183,Seattle Port PCS Airport,1,2019,47.427915999999996,-122.29833300000001,236220.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
714,530670122121.0,53067012212.0,7.0,7.0,2,5,48.0,20.0,204,206,81211813,WAD988477105,349,Providence St Peter Hospital,1,2019,47.0513,-122.8449,622110.0,WA067,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
725,530530733011.0,53053073301.0,6.0,8.0,7,7,64.0,68.0,65,66,7184568,WAH000028713,106,Bellmont Cabinet Company,1,2019,47.2096,-122.2194,423310.0,WA053,SWRO,Hugh,O'Neill,Hugh O'Neill
725,530530733011.0,53053073301.0,6.0,8.0,7,7,64.0,68.0,501,557,5693,WAH000039627,3375,GKN Aerospace Sumner,1,2019,47.213809999999995,-122.23175,334511.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
727,530530733014.0,53053073301.0,6.0,8.0,4,7,70.0,39.0,87,89,16126399,WAD055498232,145,Western Wood Preserving Co,1,2019,47.207227,-122.23783799999998,321114.0,WA053,SWRO,Hugh,O'Neill,Hugh O'Neill
727,530530733014.0,53053073301.0,6.0,8.0,4,7,70.0,39.0,113,115,32784783,WAD982821332,182,Precision Aerospace & Composites,1,2019,47.20754,-122.24144,336360.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
728,530530733013.0,53053073301.0,6.0,8.0,2,0,0.0,14.0,449,502,1983,WAH000052610,3263,PMO SBCT Stryker Brigade Combat Team,10,2019,47.218540000000004,-122.23013999999999,336992.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
728,530530733013.0,53053073301.0,6.0,8.0,2,0,0.0,14.0,518,579,44528,WAH000055679,3419,Amazon.com Services Inc DSE7,3,2019,47.23683,-122.24087,493110.0,WA053,SWRO,Amy,Leang,Amy Leang
728,530530733013.0,53053073301.0,6.0,8.0,2,0,0.0,14.0,12,12,1283,WAD981764434,13,Manke Lumber Co Inc Sumner,1,2019,47.25014,-122.24518,32111.0,WA053,SWRO,Hugh,O'Neill,Hugh O'Neill
728,530530733013.0,53053073301.0,6.0,8.0,2,0,0.0,14.0,415,435,99996977,WAH000034591,2992,Pacific Truck & Machinery Coating,1,2019,47.25525,-122.25681999999999,811121.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
728,530530733013.0,53053073301.0,6.0,8.0,2,0,0.0,14.0,42,43,776892,WAH000030763,51,Apply A Line,1,2019,47.255389,-122.25078799999999,237310.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
732,530610528032.0,53061052803.0,6.0,5.0,7,2,17.0,63.0,88,90,16774728,WAD155368228,148,C & D Zodiac Seattle,1,2019,48.1112,-122.17966000000001,336413.0,WA061,NWRO,Robert,Reuter,Robert Reuter
757,530610514002.0,53061051400.0,9.0,8.0,8,4,38.0,72.0,130,132,39631155,WAD045368206,209,Connelly Skis Inc,1,2019,47.81175,-122.3033,339920.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,308,315,2282,WAD008957961,669,Cascade Columbia,1,2019,47.54081,-122.32746000000002,42469.0,WA033,NWRO,Amy,Leang,Amy Leang
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,519,580,67379,WAH000057390,3420,Amazon.com Services LLC DSE2,3,2019,47.54326,-122.32915,493110.0,WA033,NWRO,Amy,Leang,Amy Leang
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,56,57,3856995,WAD053814091,79,Viox Corp,1,2019,47.544270000000004,-122.32623000000001,327212.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,24,24,2253,WAD980382972,28,CERTAINTEED GYPSUM MANUFACTURING,1,2019,47.549279999999996,-122.33503999999999,32742.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,80,82,11598755,WAD009245465,133,Capital Industries Inc,1,2019,47.55148,-122.33093000000001,332439.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,237,239,94925241,WAD044589935,400,Saint Gobain Containers Inc,1,2019,47.551666,-122.335274,327213.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,229,231,88531932,WAD981772957,383,Art Brass Plating Inc Seattle,1,2019,47.553259999999995,-122.33085,332813.0,WA033,NWRO,Robert,Reuter,Robert Reuter
776,530330109002.0,53033010900.0,5.0,10.0,5,6,54.0,42.0,356,363,59148337,WAD988492906,1622,Seacast Inc Seattle,1,2019,47.55494,-122.33211999999999,331512.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
785,530090021002.0,53009002100.0,8.0,3.0,6,9,90.0,52.0,461,514,23804,WAH000052767,3284,American Fiber and Finishing Sequim,1,2019,48.07407,-123.10851000000001,423840.0,WA009,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
794,530530715041.0,53053071504.0,8.0,9.0,9,10,91.0,81.0,132,134,39812819,WAD071836019,211,Pacific Lutheran University,1,2019,47.14735,-122.43963000000001,61131.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
831,530530633004.0,53053063300.0,10.0,10.0,10,9,86.0,92.0,374,381,15496871,WAD002290534,2403,Founders Choice,1,2019,47.202420000000004,-122.42063,337110.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
839,530719200002.0,53071920000.0,9.0,6.0,7,7,62.0,68.0,1,1,5,WAD009052432,2,Boise White Paper LLC,1,2019,46.1026,-118.9191,32211.0,WA071,INDUSTRIAL,Angela,Fritz,Angela Fritz
852,530630123002.0,53063012300.0,8.0,8.0,5,10,98.0,48.0,497,553,22197,WAH000051142,3369,Applied Industrial Technologies,10,2019,47.65579,-117.31625,336320.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
862,530050105001.0,53005010500.0,4.0,3.0,6,9,89.0,58.0,258,262,69419341,WAH000036384,511,KADLEC MEDICAL CENTER,1,2019,46.2813,-119.28228,622110.0,WA005,CRO,Huckleberry,Palmer,Huckleberry Palmer
884,530730003003.0,53073000300.0,9.0,9.0,2,4,35.0,15.0,32,32,2861,WAD008957243,39,OESER CO,1,2019,48.768209999999996,-122.51905,321114.0,WA073,NWRO,Robert,Reuter,Robert Reuter
893,530530713091.0,53053071309.0,7.0,7.0,7,3,23.0,63.0,392,402,16429,WAH000043064,2832,Carlisle Construction Materials INC,1,2019,47.108169000000004,-122.353476,321992.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,90,92,18769882,WAH000018887,152,ACHILLES USA INC,1,2019,47.9251,-122.25263000000001,326113.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,334,341,91911565,WAD029594249,878,Jamco America 1018,1,2019,47.92523,-122.24843,336360.0,WA061,NWRO,Robert,Reuter,Robert Reuter
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,514,575,1252644,WAD988472114,3411,Fluke Corp Plastics,1,2019,47.929829999999995,-122.25433999999998,334515.0,WA061,NWRO,Amy,Leang,Amy Leang
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,178,180,66688757,WAD991281775,310,FLUKE CORPORATION SEAWAY BLVD,1,2019,47.936477000000004,-122.271716,334515.0,WA061,NWRO,Amy,Leang,Amy Leang
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,79,81,9789393,WAH000022186,130,Tyee Aircraft,1,2019,47.938992999999996,-122.267951,336413.0,WA061,NWRO,Robert,Reuter,Robert Reuter
911,530610413042.0,53061041304.0,1.0,1.0,5,2,16.0,50.0,235,237,94733196,WAH000017160,398,SNBL USA Ltd,1,2019,47.941916,-122.267582,54171.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
958,530330113001.0,53033011300.0,8.0,10.0,8,7,62.0,72.0,359,366,36776588,WAD982820995,1777,MacDonald Miller Service Inc,1,2019,47.53392,-122.33851999999999,23821.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
958,530330113001.0,53033011300.0,8.0,10.0,8,7,62.0,72.0,85,87,15163955,WAH000011486,142,NORTHLAND SERVICES INC SEATTLE,1,2019,47.539986,-122.342902,48832.0,WA033,NWRO,Robert,Reuter,Robert Reuter
985,530539400021.0,53053940002.0,8.0,10.0,5,5,44.0,48.0,418,441,11834,WAH000048875,3020,Milgard Vinyl Corp Tacoma,1,2019,47.24812,-122.35423,326199.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
985,530539400021.0,53053940002.0,8.0,10.0,5,5,44.0,48.0,140,142,48841951,WAH000015016,237,Test America Tacoma,1,2019,47.250083000000004,-122.353527,54138.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
986,530539400022.0,53053940002.0,8.0,10.0,9,8,72.0,89.0,242,245,98132319,WAH000006213,411,PM Testing Lab Inc Pacific Hwy,1,2019,47.242777000000004,-122.37555400000001,54199.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
986,530539400022.0,53053940002.0,8.0,10.0,9,8,72.0,89.0,199,201,78979653,WAD981763667,343,Rainier Ballistics LLC,10,2019,47.24423,-122.36863000000001,332813.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
986,530539400022.0,53053940002.0,8.0,10.0,9,8,72.0,89.0,317,324,26693246,WAD060033024,732,PROGRESS RAIL SERVICES,1,2019,47.2476,-122.3754,488210.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
986,530539400022.0,53053940002.0,8.0,10.0,9,8,72.0,89.0,414,434,12819,WAH000046947,2990,Milgard Manufacturing Inc Fiberglass,1,2019,47.24913,-122.35823,321911.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
986,530539400022.0,53053940002.0,8.0,10.0,9,8,72.0,89.0,5,5,40,WAD009252719,6,US OIL & REFINING TACOMA,1,2019,47.253333000000005,-122.37731699999999,324110.0,WA053,INDUSTRIAL,Angela,Fritz,Angela Fritz
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,413,433,24862,WAH000047305,2988,JT MARINE INC,10,2019,45.61228,-122.64406000000001,336611.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,187,189,74578739,WAD030779623,325,Thompson Metal Fabrication,1,2019,45.613609000000004,-122.635551,33231.0,WA011,SWRO,Hugh,O'Neill,Hugh O'Neill
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,267,271,97782522,WAD988505459,535,Excelsior Packaging Group Inc,1,2019,45.61476,-122.64843,326199.0,WA011,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,112,114,32698463,WAD103015756,181,Christensen Shipyards Ltd,10,2019,45.61639,-122.62139099999999,33661.0,WA011,SWRO,Hugh,O'Neill,Hugh O'Neill
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,399,409,15031,WAH000043046,2875,National Container Group LLC,1,2019,45.61663,-122.64696,423840.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,250,254,28846857,WA0000105767,479,OREGON IRON WORKS INC 3001,1,2019,45.617340000000006,-122.64148,332312.0,WA011,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,364,371,45241242,WAD009020140,1996,Columbia Machines,1,2019,45.620832,-122.643019,333249.0,WA011,SWRO,Hugh,O'Neill,Hugh O'Neill
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,243,246,98399687,WAD050966019,412,A & J CUSTOM CABINETS Inc,1,2019,45.621140000000004,-122.64706000000001,337110.0,WA011,SWRO,Hugh,O'Neill,Hugh O'Neill
1016,530110426003.0,53011042600.0,8.0,9.0,2,5,48.0,14.0,194,196,75761428,WAD050967926,334,SW Washington Medical Center,1,2019,45.62464,-122.66281000000001,62211.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1052,530110406092.0,53011040609.0,2.0,7.0,5,2,14.0,49.0,108,110,29115524,WAR000006387,176,LINEAR TECHNOLOGY CORP,1,2019,45.604009999999995,-122.44842,334413.0,WA011,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1084,530630116001.0,53063011600.0,2.0,5.0,2,6,59.0,16.0,208,210,81484342,WAD009069279,353,Inland Empire Paper,1,2019,47.687083,-117.28411299999999,322122.0,WA063,ERO,Huckleberry,Palmer,Huckleberry Palmer
1087,530610413014.0,53061041301.0,2.0,2.0,7,5,47.0,64.0,454,507,13931659,WAH000011882,3270,New Tech Industries Inc,10,2019,47.927149,-122.294634,332999.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
1089,530330112001.0,53033011200.0,10.0,10.0,9,9,90.0,88.0,239,242,97263627,WAD002838068,408,Puget Sound Coatings Machinists Inc,1,2019,47.519290999999996,-122.324396,332812.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1137,530150011007.0,53015001100.0,10.0,9.0,1,9,85.0,4.0,226,228,87349729,WAD042482984,379,Stowe Woodward Co,10,2019,46.120670000000004,-122.89399999999999,339999.0,WA015,SWRO,Hugh,O'Neill,Hugh O'Neill
1137,530150011007.0,53015001100.0,10.0,9.0,1,9,85.0,4.0,214,216,83415765,WAD112678909,361,Steel Painters Inc,1,2019,46.121520000000004,-122.89339,332812.0,WA015,SWRO,Hugh,O'Neill,Hugh O'Neill
1137,530150011007.0,53015001100.0,10.0,9.0,1,9,85.0,4.0,51,52,3181144,WAD988472452,70,Columbia Analytical Services Inc Kelso,1,2019,46.12664,-122.90038999999999,54171.0,WA015,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1158,530330084002.0,53033008400.0,4.0,8.0,7,6,52.0,63.0,379,386,3212974,WAD981760820,2628,Seattle University,1,2019,47.611059999999995,-122.321426,611310.0,WA033,NWRO,Amy,Leang,Amy Leang
1158,530330084002.0,53033008400.0,4.0,8.0,7,6,52.0,63.0,98,100,23973766,WAD076654185,164,Virginia Mason Medical Center,1,2019,47.61218,-122.32086699999999,62211.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
1169,530079608022.0,53007960802.0,8.0,8.0,3,8,74.0,29.0,406,416,89235164,WAD075730648,2907,Wenatchee Valley Medical Center,10,2019,47.433409999999995,-120.32196,621493.0,WA007,CRO,Huckleberry,Palmer,Huckleberry Palmer
1178,530330283003.0,53033028300.0,7.0,10.0,10,4,40.0,92.0,491,547,57762495,WAH000017681,3358,The Box Maker Inc,1,2019,47.431082,-122.257916,322211.0,WA033,NWRO,Amy,Leang,Amy Leang
1178,530330283003.0,53033028300.0,7.0,10.0,10,4,40.0,92.0,54,55,3713519,WAH000033320,76,RAINIER INDUSTRIES LTD,1,2019,47.437441,-122.251493,314911.0,WA033,NWRO,Amy,Leang,Amy Leang
1178,530330283003.0,53033028300.0,7.0,10.0,10,4,40.0,92.0,91,93,18965792,WAD009247107,153,North Pacific industrial Coatings,1,2019,47.43899999999999,-122.24628,23731.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1180,530610518042.0,53061051804.0,6.0,4.0,9,4,38.0,90.0,274,278,5537362,WAH000025794,555,Sanofi Aventis US LLC,1,2019,47.851812,-122.267905,32541.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
1185,530530713051.0,53053071305.0,7.0,8.0,8,7,64.0,73.0,464,517,1065741,WAH000029455,3300,Jet Door LLC,10,2019,47.154863,-122.404173,337212.0,WA053,SWRO,Hugh,O'Neill,Hugh O'Neill
1193,530730103011.0,53073010301.0,6.0,2.0,5,7,64.0,43.0,285,291,4063395,WAH000034132,594,OXBO INTERNATIONAL CORP,1,2019,48.935116,-122.51933899999999,333111.0,WA073,NWRO,Paul,Fabiniak,Paul Fabiniak
1220,530110413184.0,53011041318.0,6.0,7.0,3,2,11.0,23.0,451,504,8189,WAH000052256,3265,Blackfly Investment LLC Vancouver,1,2019,45.61999,-122.52496000000001,621511.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1261,530330080022.0,53033008002.0,5.0,10.0,8,6,60.0,74.0,500,556,36313,WAH000054514,3372,Roche Diagnostics Seattle,1,2019,47.61168,-122.34778,541714.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
1308,530330076003.0,53033007600.0,2.0,6.0,3,3,24.0,23.0,213,215,82945542,WAD980835037,360,Group Health Central Hospital,1,2019,47.6199,-122.31127,621491.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
1313,530210201001.0,53021020100.0,10.0,9.0,10,9,86.0,97.0,510,570,8993,WAH000055612,3405,SIMPLOT RDO,9,2019,46.24409,-119.05873000000001,311411.0,WA021,ERO,John,Blunt,John Blunt
1313,530210201001.0,53021020100.0,10.0,9.0,10,9,86.0,97.0,472,528,17198,WAH000052652,3318,AutoZone Distribution Center 9788,1,2019,46.265209999999996,-119.08061000000001,441310.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1314,530210201005.0,53021020100.0,10.0,9.0,10,10,99.0,96.0,378,385,2256742,WAD000834424,2601,Tesoro Logistics Operations LLC Sacajawe,1,2019,46.2017,-119.04385,424710.0,WA021,ERO,Rolfe,Parsloe,Rolfe Parsloe
1315,530210201003.0,53021020100.0,10.0,9.0,10,10,95.0,96.0,202,204,79528854,WAD099143984,346,TYSON FRESH MEATS,1,2019,46.228407000000004,-119.100451,31161.0,WA071,ERO,Thatcher,Montgomery,Thatcher Montgomery
1324,530530735006.0,53053073500.0,2.0,4.0,1,5,48.0,5.0,535,596,7406501,WAH000036160,3443,Northwest Traffic Inc Edgewood,1,2019,47.25188,-122.26008,238990.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1332,530330264005.0,53033026400.0,10.0,10.0,10,9,88.0,95.0,466,519,82395194,WAH000053538,3304,AERO LAC INC,1,2019,47.517223,-122.327225,321114.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1332,530330264005.0,53033026400.0,10.0,10.0,10,9,88.0,95.0,531,592,27446996,WAD006009401,3438,Geo Heiser Body Co LLC,1,2019,47.51808,-122.3232,336211.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1334,530330264001.0,53033026400.0,10.0,10.0,10,10,96.0,95.0,94,96,22978975,WAD052593480,159,Delta Marine Industries Inc,1,2019,47.51677,-122.31178999999999,336611.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
